R (a.u.),Phase (deg),Uncorrected phase (deg),Noise (a.u.),X (a.u.),Y (a.u.),Sin Harmonic n,Sin Harmonic n+1,Sin Harmonic n+2,Cos Harmonic n,Cos Harmonic n+1,Cos Harmonic n+2,Higher harmonic number n
2053.37979,-12.22176,-0.21331,0.86175,-2006.84195,434.68833,-62.98708,-535.47872,-96.95072,-113.73876,386.72431,-71.84969,2
2053.37733,-12.22176,-0.21331,0.80351,-2006.84,434.68572,-62.96651,-535.47369,-96.91144,-113.68868,386.71885,-71.80910,2
2053.37477,-12.22348,-0.21334,0.75078,-2006.82188,434.75725,-62.95674,-535.42462,-96.88877,-113.64842,386.77360,-71.76849,2
2053.37444,-12.22749,-0.21341,0.70528,-2006.79121,434.89725,-62.98013,-535.34213,-96.92281,-113.66255,386.88610,-71.75996,2
2053.37562,-12.23036,-0.21346,0.67290,-2006.77352,434.98446,-63.00041,-535.29460,-96.95417,-113.67748,386.95793,-71.75689,2
2053.37658,-12.22692,-0.21340,0.63278,-2006.79938,434.86965,-62.97385,-535.36236,-96.91193,-113.64636,386.86749,-71.74675,2
2053.37867,-12.22635,-0.21339,0.58821,-2006.80637,434.84727,-62.94822,-535.37992,-96.86469,-113.58150,386.85223,-71.69544,2
2053.37753,-12.23265,-0.21350,0.55286,-2006.75504,435.07872,-62.94220,-535.24373,-96.83523,-113.47222,387.03632,-71.56961,2
2053.37958,-12.24067,-0.21364,0.54340,-2006.69595,435.36082,-62.93149,-535.08456,-96.79743,-113.35004,387.26606,-71.43439,2
2053.38596,-12.24926,-0.21379,0.56673,-2006.63659,435.6644,-62.92469,-534.92292,-96.77017,-113.24656,387.51935,-71.32009,2
2053.39096,-12.25385,-0.21387,0.61301,-2006.60796,435.81984,-62.90825,-534.84439,-96.73417,-113.17237,387.65201,-71.25061,2
2053.39557,-12.24984,-0.21380,0.61807,-2006.64534,435.66943,-62.86872,-534.94218,-96.67381,-113.13044,387.53803,-71.24361,2
2053.39825,-12.24812,-0.21377,0.59656,-2006.65729,435.62703,-62.84715,-534.97146,-96.63634,-113.08599,387.50635,-71.21393,2
2053.39491,-12.25213,-0.21384,0.57256,-2006.62575,435.75651,-62.87504,-534.88722,-96.67464,-113.09744,387.60283,-71.19762,2
2053.38977,-12.25098,-0.21382,0.55714,-2006.62855,435.71941,-62.87932,-534.89390,-96.68004,-113.11311,387.56275,-71.21000,2
2053.38724,-12.24411,-0.21370,0.51975,-2006.67927,435.47382,-62.85918,-535.02841,-96.65558,-113.14032,387.36000,-71.26279,2
2053.38702,-12.24354,-0.21369,0.47864,-2006.68079,435.46582,-62.88061,-535.03169,-96.69265,-113.17739,387.35184,-71.28491,2
2053.38692,-12.23838,-0.21360,0.44074,-2006.7234,435.26892,-62.87506,-535.14520,-96.69404,-113.22715,387.19365,-71.35033,2
2053.38519,-12.22978,-0.21345,0.41982,-2006.78428,434.97997,-62.86368,-535.30984,-96.69103,-113.29622,386.96077,-71.44509,2
2053.38614,-12.22749,-0.21341,0.41626,-2006.8031,434.89766,-62.84662,-535.36045,-96.66667,-113.28435,386.89852,-71.44941,2
2053.38696,-12.22864,-0.21343,0.41090,-2006.79422,434.94248,-62.84051,-535.33638,-96.65464,-113.26278,386.93863,-71.42982,2
2053.38521,-12.23494,-0.21354,0.38321,-2006.74833,435.1459,-62.86371,-535.21480,-96.68556,-113.26486,387.10230,-71.40742,2
2053.38859,-12.24067,-0.21364,0.35395,-2006.70606,435.35674,-62.89382,-535.10113,-96.73159,-113.28234,387.27896,-71.39828,2
